Metric,Value
Constraints Found,33.0
Constraints Searched,872.0
MatchingResult Score,2081.0
InsertionResult Score,1080.0
Matching Rate (%),3.78
Latency (s),0.077565707
Submaps:,"{'active': 14.0, 'frozen': 0.0, 'deleted': 0.0}"
Num Submap Scan Matchers,12.0
Work Queue Delay (s),0.0
Real-time Ratio (Sensor / Wall clock duration),1.4810178936420964
CPU Real-time Ratio (Sensor / Cpu duration),12.31989282368113

"Matching Score Bucket (Bucket , Count)"

"Local Trajectory Builder Residuals (Bucket , Count)"
0.01,3129.0
0.02,557.0
0.04,403.0
0.08,71.0

"Local Trajectory Builder Costs (Bucket , Count)"
0.01,747.0
0.02,247.0
0.04,245.0
0.08,656.0
0.16,185.0

"Local Trajectory Builder Scores (Bucket , Count)"
