s,x,y,kappa
0.0,-0.001688150249905849,0.5356511898883096,1.2646488357193255
0.01,0.00830947701743127,0.5358642079434836,1.4304034433229522
0.02,0.018301856814995545,0.536251086938018,1.600277063682746
0.03,0.028284724821748135,0.5368333421394165,1.773211750932802
0.04,0.038252603817905455,0.5376316911729752,1.948671777632796
0.05,0.04819964410326525,0.538657782256468,2.1268098862405966
0.06,0.05812619190136918,0.5398665033284397,2.3083168975461974
0.07,0.06802676006710257,0.5412719234394228,2.4939796619516015
0.08,0.07789284123438911,0.5429016177927013,2.6841033830504704
0.09,0.08771419248326563,0.5447818928929364,2.8779958953084614
0.1,0.09747867690899428,0.5469378255868038,3.073680261313073
0.11,0.10717215037629003,0.5493931312409454,3.2679134675114323
0.12,0.1167784136118708,0.5521698840412866,3.456456638525297
0.13,0.12627925580151042,0.5552881072238588,3.634484044931565
0.14,0.13565461792151623,0.558765259030047,3.7970243459769355
0.15,0.14488290121591338,0.5626156527094146,3.9393461140884
0.16,0.15394143689881082,0.5668498635110023,4.057252323519603
0.17,0.1628071165923149,0.5714741885373381,4.147269394377955
0.18,0.1714571603730925,0.5764902318159033,4.206773387640016
0.19,0.17986997414945416,0.5818946827030487,4.234093444550874
0.2,0.1880260263223833,0.5876793377311017,4.228553513678089
0.21,0.19590866194486464,0.5938313860244948,4.190498563185246
0.22,0.20350477547176407,0.6003339419205542,4.121293294411884
0.23,0.21080528152720684,0.6071667736334647,4.023315465717932
0.24,0.21780535273223434,0.6143071521725665,3.89989827107382
0.25,0.2245044276015837,0.621730735106257,3.7552088144512132
0.26,0.23090602152319584,0.6294124059878908,3.5940353025018426
0.27,0.23701739397191338,0.6373270081546643,3.4214839768873695
0.28,0.24284913372913614,0.6454499348279906,3.2425725899566396
0.29,0.2484147222374696,0.6537575601252911,3.0617306542645712
0.3,0.25373012690892366,0.6622275135045022,2.8822623727628063
0.31,0.2588134652689801,0.6708388114371631,2.705864905807234
0.32,0.2636847472483881,0.6795718775598887,2.5323294947236095
0.33,0.26834427464954486,0.6884196932123657,2.3595594445953205
0.34,0.2727906878877834,0.6973765554876197,2.183998386169099
0.35,0.2770441168243657,0.706426702735159,2.00146659035491
0.36,0.28112602284322247,0.715555537990309,1.8082736376769029
0.37,0.2850445977240222,0.7247555943011053,1.6023429477613702
0.38,0.2887225420513384,0.7340543926148924,1.38400999647083
0.39,0.29219088571360385,0.7434334991476664,1.1562340244505815
0.4,0.2955037559860048,0.7528687219142148,0.9241372700242063
0.41,0.2987901841413193,0.7623132458734151,0.6939886652283076
0.42,0.30209001075423847,0.7717531145829738,0.4719630091898822
0.43,0.3053777529504799,0.7811971997910929,0.2630922380095633
0.44,0.3086617184798562,0.7906425992144692,0.07073345960493904
0.45,0.31195123203681585,0.8000860673642142,-0.10332619640550787
0.46,0.31525670513404735,0.8095239594425772,-0.25824643115819007
0.47,0.3185896619091736,0.8189521777123612,-0.39330327707856966
0.48,0.3219627698377773,0.8283661008677222,-0.5072140679411253
0.49,0.3253898745183485,0.837760493905184,-0.5978797100319938
0.5,0.3288860363728414,0.8471293958834863,-0.662648401964924
0.51,0.3324675657257038,0.8564659828299807,-0.6990099182434821
0.52,0.3361520508665972,0.8657624031207449,-0.7054629571161904
0.53,0.3399583712126027,0.8750095831242978,-0.6822362411553491
0.54,0.34390668502461014,0.8841970017592176,-0.6316016819512468
0.55,0.34795950606529025,0.893338913320095,-0.5576667588566231
0.56,0.35204167922275487,0.9024677574036258,-0.46574385612155533
0.57,0.35614833830171744,0.9115856138028208,-0.3615457143266677
0.58,0.3602746499932938,0.9206945941910649,-0.25048126769237267
0.59,0.3644158159481266,0.9297968318176687,-0.1372734386715518
0.6,0.3685670757366252,0.9388944708791165,-0.0259627638864303
0.61,0.372723708833565,0.9479896564410089,0.07979660246700129
0.62,0.3768810364643356,0.9570845245925189,0.1763714934087219
0.63,0.38103442143289684,0.9661811937387391,0.2599740888718622
