Metric,Value
Constraints Found,90.0
Constraints Searched,90.0
MatchingResult Score,751.0
InsertionResult Score,330.0
Matching Rate (%),100.0
Latency (s),0.121064269
Submaps:,"{'active': 4.0, 'frozen': 0.0, 'deleted': 0.0}"
Num Submap Scan Matchers,2.0
Work Queue Delay (s),0.0
Real-time Ratio (Sensor / Wall clock duration),0.8278850632633812
CPU Real-time Ratio (Sensor / Cpu duration),4.150207006622598

"Matching Score Bucket (Bucket , Count)"

"Local Trajectory Builder Residuals (Bucket , Count)"
0.01,1486.0
0.02,14.0

"Local Trajectory Builder Costs (Bucket , Count)"
0.02,114.0
0.04,217.0
0.08,154.0
0.16,247.0
0.32,18.0

"Local Trajectory Builder Scores (Bucket , Count)"
