Metric,Value
Constraints Found,562.0
Constraints Searched,565.0
MatchingResult Score,995.0
InsertionResult Score,554.0
Matching Rate (%),99.47
Latency (s),0.098994799
Submaps:,"{'active': 7.0, 'frozen': 0.0, 'deleted': 0.0}"
Num Submap Scan Matchers,5.0
Work Queue Delay (s),0.0
Real-time Ratio (Sensor / Wall clock duration),1.0108834101476383
CPU Real-time Ratio (Sensor / Cpu duration),5.850325230477145

"Matching Score Bucket (Bucket , Count)"

"Local Trajectory Builder Residuals (Bucket , Count)"
0.01,1953.0
0.02,35.0

"Local Trajectory Builder Costs (Bucket , Count)"
0.04,9.0
0.08,505.0
0.16,463.0
0.32,17.0

"Local Trajectory Builder Scores (Bucket , Count)"
