Metric,Value
Constraints Found,1383.0
Constraints Searched,1560.0
MatchingResult Score,2363.0
InsertionResult Score,827.0
Matching Rate (%),88.65
Latency (s),0.100183726
Submaps:,"{'active': 10.0, 'frozen': 0.0, 'deleted': 0.0}"
Num Submap Scan Matchers,8.0
Work Queue Delay (s),0.0
Real-time Ratio (Sensor / Wall clock duration),1.0036999422441126
CPU Real-time Ratio (Sensor / Cpu duration),5.791781018857841

"Matching Score Bucket (Bucket , Count)"

"Local Trajectory Builder Residuals (Bucket , Count)"
0.01,4686.0
0.02,38.0

"Local Trajectory Builder Costs (Bucket , Count)"
0.02,112.0
0.04,458.0
0.08,944.0
0.16,790.0
0.32,58.0

"Local Trajectory Builder Scores (Bucket , Count)"
