Metric,Value
Constraints Found,204.0
Constraints Searched,204.0
MatchingResult Score,864.0
InsertionResult Score,406.0
Matching Rate (%),100.0
Latency (s),0.110813242
Submaps:,"{'active': 5.0, 'frozen': 0.0, 'deleted': 0.0}"
Num Submap Scan Matchers,3.0
Work Queue Delay (s),0.0
Real-time Ratio (Sensor / Wall clock duration),0.9031492824657182
CPU Real-time Ratio (Sensor / Cpu duration),5.35009789179809

"Matching Score Bucket (Bucket , Count)"

"Local Trajectory Builder Residuals (Bucket , Count)"
0.01,1699.0
0.02,27.0

"Local Trajectory Builder Costs (Bucket , Count)"
0.01,217.0
0.02,91.0
0.04,80.0
0.08,181.0
0.16,282.0
0.32,12.0

"Local Trajectory Builder Scores (Bucket , Count)"
