Metric,Value
Constraints Found,1895.0
Constraints Searched,3069.0
MatchingResult Score,2413.0
InsertionResult Score,1109.0
Matching Rate (%),61.75
Latency (s),0.099909077
Submaps:,"{'active': 13.0, 'frozen': 0.0, 'deleted': 0.0}"
Num Submap Scan Matchers,11.0
Work Queue Delay (s),0.0
Real-time Ratio (Sensor / Wall clock duration),0.998889220045542
CPU Real-time Ratio (Sensor / Cpu duration),8.123197885521781

"Matching Score Bucket (Bucket , Count)"

"Local Trajectory Builder Residuals (Bucket , Count)"
0.01,4784.0
0.02,40.0

"Local Trajectory Builder Costs (Bucket , Count)"
0.02,516.0
0.04,1038.0
0.08,615.0
0.16,239.0
0.32,4.0

"Local Trajectory Builder Scores (Bucket , Count)"
